epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.091,2.16572,2.82562,1.89212,0.95866,0.0542,0.17332,0.06297,2.11358,3.25821,1.9151,0.000650794,0.000650794,0.000650794
2,55.1003,2.22008,2.44173,1.88433,0.11189,0.17757,0.08819,0.03477,2.49671,4.04103,2.49797,0.00127398,0.00127398,0.00127398
3,80.7097,2.22968,2.41133,1.97708,0.10878,0.2757,0.05687,0.01672,2.66283,8.62118,2.82384,0.00185317,0.00185317,0.00185317
4,106.027,2.23108,2.3324,1.99311,0.1105,0.29206,0.0724,0.02171,2.56377,6.58083,2.51973,0.001802,0.001802,0.001802
5,131.508,2.17804,2.17794,1.9176,0.24362,0.26168,0.19784,0.07327,2.3501,3.78671,2.13953,0.001736,0.001736,0.001736
6,157.042,2.19955,2.1685,1.96836,0.43383,0.32047,0.26769,0.09582,2.35058,2.39079,2.10949,0.00167,0.00167,0.00167
7,182.051,2.17755,2.08918,1.91289,0.51133,0.3271,0.33836,0.12783,2.30442,2.14506,2.09704,0.001604,0.001604,0.001604
8,207.259,2.12265,2.05331,1.87511,0.49655,0.35047,0.35839,0.12331,2.25484,2.06641,2.08294,0.001538,0.001538,0.001538
9,232.23,2.11612,1.97079,1.86273,0.55072,0.39252,0.38799,0.14134,2.2718,2.14077,2.00158,0.001472,0.001472,0.001472
10,257.098,2.07778,1.95708,1.83554,0.4731,0.42757,0.38748,0.1519,2.23934,2.06055,2.02577,0.001406,0.001406,0.001406
11,282.096,2.09186,1.91272,1.81895,0.56758,0.41589,0.42887,0.16395,2.1221,2.00866,1.93888,0.00134,0.00134,0.00134
12,307.231,2.02671,1.82367,1.7556,0.47815,0.44159,0.44221,0.17493,2.10528,1.78965,1.88906,0.001274,0.001274,0.001274
13,333.094,2.03467,1.82773,1.80609,0.57157,0.41355,0.43619,0.17018,2.12812,1.8825,2.00367,0.001208,0.001208,0.001208
14,358.241,1.99325,1.75262,1.73823,0.56366,0.42255,0.43785,0.16177,2.2035,1.89494,1.94916,0.001142,0.001142,0.001142
15,384.239,1.97082,1.81103,1.78015,0.5674,0.42523,0.45495,0.17895,2.11752,1.83194,1.96023,0.001076,0.001076,0.001076
16,409.271,1.96705,1.74177,1.766,0.626,0.46963,0.4958,0.19909,2.09261,1.82766,1.89421,0.00101,0.00101,0.00101
17,434.28,1.97586,1.73054,1.75188,0.70698,0.4229,0.49571,0.19965,2.13685,1.71021,1.91367,0.000944,0.000944,0.000944
18,459.237,1.92276,1.70945,1.73549,0.60952,0.43766,0.47291,0.19821,2.07714,1.81196,1.91037,0.000878,0.000878,0.000878
19,484.408,1.94786,1.67145,1.73812,0.65478,0.40888,0.48243,0.19732,2.0904,1.72157,1.92009,0.000812,0.000812,0.000812
20,509.388,1.92048,1.60061,1.68951,0.56503,0.45327,0.50391,0.20276,2.09985,1.69232,1.88425,0.000746,0.000746,0.000746
21,533.005,1.92043,1.74372,1.74141,0.62101,0.42757,0.49786,0.2083,2.05722,1.75802,1.87624,0.00068,0.00068,0.00068
22,556.138,1.90058,1.65439,1.73823,0.66133,0.38324,0.46631,0.20159,2.03983,1.77236,1.85959,0.000614,0.000614,0.000614
23,579.722,1.85472,1.60658,1.70413,0.61808,0.47664,0.516,0.22278,2.0043,1.69945,1.78856,0.000548,0.000548,0.000548
24,603.157,1.8543,1.58079,1.71564,0.59409,0.45794,0.49887,0.21628,2.00884,1.67136,1.84091,0.000482,0.000482,0.000482
25,626.434,1.82228,1.5222,1.67897,0.6112,0.46028,0.50535,0.21819,1.99205,1.62324,1.8489,0.000416,0.000416,0.000416
26,649.893,1.81384,1.49494,1.68604,0.6347,0.46963,0.52739,0.22474,1.98283,1.64288,1.81339,0.00035,0.00035,0.00035
27,673.225,1.77398,1.46194,1.63987,0.61646,0.4486,0.49905,0.22249,2.00579,1.63538,1.81459,0.000284,0.000284,0.000284
28,695.877,1.76761,1.46489,1.64557,0.59347,0.49766,0.51475,0.22099,2.00429,1.65371,1.82481,0.000218,0.000218,0.000218
29,722.875,1.76266,1.41649,1.64603,0.63271,0.45561,0.5211,0.21972,2.02315,1.63369,1.83301,0.000152,0.000152,0.000152
30,748.341,1.71323,1.40649,1.62243,0.65305,0.45093,0.525,0.22527,1.99776,1.61308,1.82003,8.6e-05,8.6e-05,8.6e-05
