epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1065,0.53061,1.47116,0.93268,0.13595,0.13592,0.06407,0.02839,2.67056,4.5537,2.51121,0.000656716,0.000656716,0.000656716
2,96.5964,0.46498,0.55269,0.90407,0.06707,0.12216,0.03466,0.01744,1.99961,4.34499,1.79584,0.00130591,0.00130591,0.00130591
3,144.518,0.47007,0.52182,0.91304,0.00654,0.03883,0.00094,0.00016,3.32214,6.01604,4.38062,0.00193751,0.00193751,0.00193751
4,190.183,0.45296,0.47438,0.89804,0.04541,0.16505,0.02708,0.00821,2.4097,5.479,2.32779,0.0019208,0.0019208,0.0019208
5,236.136,0.42754,0.42297,0.88976,0.0223,0.02913,0.00625,0.00135,2.69283,4.08804,2.72013,0.0018944,0.0018944,0.0018944
6,282.474,0.39292,0.40278,0.89382,0.00201,0.04854,0.0001,3e-05,2.85505,5.09997,2.59065,0.001868,0.001868,0.001868
7,322.285,0.37371,0.37468,0.86509,0.68568,0.52952,0.56923,0.26396,1.96685,2.13667,1.99083,0.0018416,0.0018416,0.0018416
8,368.092,0.36076,0.36442,0.8719,0.52189,0.29126,0.29625,0.13041,2.24143,2.58427,2.18385,0.0018152,0.0018152,0.0018152
9,413.615,0.34331,0.34397,0.87028,0.61904,0.27184,0.30591,0.14992,2.14459,3.21287,2.29263,0.0017888,0.0017888,0.0017888
10,459.012,0.34739,0.34425,0.87138,0.51852,0.08738,0.12415,0.05013,2.54091,3.67236,2.34954,0.0017624,0.0017624,0.0017624
11,504.274,0.31789,0.31404,0.85911,0.47575,0.09693,0.10438,0.04785,2.17454,4.64715,2.08958,0.001736,0.001736,0.001736
12,549.668,0.30457,0.30498,0.85959,0.73917,0.3577,0.45958,0.21612,2.20574,2.64917,2.07881,0.0017096,0.0017096,0.0017096
13,595.516,0.30679,0.31807,0.85629,0,0,0,0,2.86524,5.20207,2.41178,0.0016832,0.0016832,0.0016832
14,690.201,0.30026,0.2982,0.85983,0.61518,0.05825,0.09324,0.04684,2.0726,4.65142,1.91613,0.0016568,0.0016568,0.0016568
15,735.819,0.29551,0.28753,0.85528,0.00836,0.02913,0.00022,5e-05,2.77198,5.21143,2.35157,0.0016304,0.0016304,0.0016304
16,781.275,0.29457,0.28511,0.85381,0.1008,0.36893,0.07892,0.03866,2.03039,4.54934,1.92003,0.001604,0.001604,0.001604
17,826.657,0.27282,0.27801,0.85766,0.05952,0.14563,0.0358,0.01502,2.20162,5.09791,2.017,0.0015776,0.0015776,0.0015776
18,872.518,0.27049,0.26258,0.8495,0.02736,0.08738,0.01101,0.00588,2.61558,5.12833,2.12899,0.0015512,0.0015512,0.0015512
19,918.604,0.26203,0.25525,0.84466,0.34161,0.53398,0.36578,0.1589,2.52873,3.57286,2.41985,0.0015248,0.0015248,0.0015248
20,964.133,0.25443,0.25336,0.84273,0,0,0,0,2.80543,5.70537,2.40356,0.0014984,0.0014984,0.0014984
21,1009.94,0.25036,0.26261,0.84271,0.36283,0.39806,0.31696,0.15078,1.97148,4.04794,1.83328,0.001472,0.001472,0.001472
22,1055.44,0.25846,0.25703,0.84592,0.125,0.05825,0.01016,0.00659,1.97952,5.31706,1.78648,0.0014456,0.0014456,0.0014456
